Rank	Time	Wind	First.Name	Last.Name	Country	Birthdate	Race	Location	Date
152	148	10.85	0.9	Gwen	Torrence	USA	12.06.65	1	Goteborg	07.08.1995
153	148	10.85	1.4	Merlene	Ottey	JAM	10.05.60	2s1	Goteborg	07.08.1995
154	148	10.85	1.6	Gwen	Torrence	USA	12.06.65	1	Atlanta	18.05.1996
155	148	10.85	0.4	Zhanna	Block	UKR	06.07.72	2	Athinai	03.08.1997
156	148	10.85	0.8	Merlene	Ottey	JAM	10.05.60	2	Berlin	26.08.1997
157	148	10.85	1.5	Christine	Arron	FRA	13.09.73	1	Montauban	05.08.1998
158	148	10.85	0.4	Veronica	Campbell-Brown	JAM	16.05.82	1	Zurich	19.08.2005
159	148	10.85	1.0	Muna	Lee	USA	30.10.81	1	Eugene	28.06.2008
160	148	10.85	0.7	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	2	Kingston	28.06.2008
161	148	10.85	0.4	Veronica	Campbell-Brown	JAM	16.05.82	2	Bruxelles	16.09.2011
162	148	10.85	1.2	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1s2	London	04.08.2012
163	148	10.85	1.5	Tianna	Bartoletta	USA	30.08.85	4	London	04.08.2012
164	148	10.85	2.0	Barbara	Pierre	USA	28.04.87	1s1	DesMoines	21.06.2013
165	148	10.85	1.8	English	Gardner	USA	22.04.92	1	DesMoines	21.06.2013
166	148	10.85	1.1	Barbara	Pierre	USA	28.04.87	2	London	27.07.2013
167	148	10.85	1.6	Michelle-Lee	Ahye	TTO	10.04.92	1s2	PortofSpain	21.06.2014
168	148	10.85	0.3	Blessing	Okagbare	NGR	10.09.88	1	Glasgow	28.07.2014
169	148	10.85	0.2	Elaine	Thompson	JAM	28.06.92	1s1	Kingston	01.07.2016
170	148	10.85	2.0	Aleia	Hobbs	USA	24.02.96	1r1	BatonRouge	28.04.2017
171	148	10.85	0.1	Tori	Bowie	USA	27.08.90	1	London	06.08.2017
172	172	10.86	0.4	Marlies	Gohr	GDR	21.03.58	1	Potsdam	05.05.1984
173	172	10.86	2.0	Marlies	Gohr	GDR	21.03.58	1	Berlin	22.09.1985
174	172	10.86	0.8	Anelia	Nuneva	BUL	30.06.62	1	Beograd	17.06.1987
175	172	10.86	0.6	Silke	Moller	GER	20.06.64	1	Potsdam	20.08.1987
176	172	10.86	0.0	Diane	Williams	USA	14.12.60	2q1	Indianapolis	16.07.1988
177	172	10.86	-1.0	Gwen	Torrence	USA	12.06.65	4	Barcelona	01.08.1992
178	172	10.86	0.9	Gwen	Torrence	USA	12.06.65	1	Bruxelles	03.09.1993
179	172	10.86	-0.2	Marion	Jones	USA	12.10.75	1	Helsinki	13.06.1998
180	172	10.86	-0.3	Ekaterini	Thanou	GRE	01.02.75	1q1	Sevilla	21.08.1999
181	172	10.86	0.7	Inger	Miller	USA	12.06.72	1q2	Sevilla	21.08.1999
182	172	10.86	0.1	Chandra	Sturrup	BAH	12.09.71	1	Nassau	21.07.2000
183	172	10.86	1.2	Chryste	Gaines	USA	14.09.70	1	Monaco	14.09.2003
184	172	10.86	0.7	Carmelita	Jeter	USA	24.11.79	1	Zurich	28.08.2009
185	172	10.86	1.9	Carmelita	Jeter	USA	24.11.79	1	Kingston	07.05.2011
186	172	10.86	2.0	Marshevet	Hooker	USA	25.09.84	2	Eugene	04.06.2011
187	172	10.86	1.0	Kelly-Ann	Baptiste	TTO	14.10.86	2	Kingston	05.05.2012
188	172	10.86	-0.1	Carmelita	Jeter	USA	24.11.79	1rA	Lausanne	23.08.2012
189	172	10.86	-0.1	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	2rA	Lausanne	23.08.2012
190	172	10.86	0.1	Blessing	Okagbare	NGR	10.09.88	1h2	London	27.07.2013
191	172	10.86	2.0	Veronica	Campbell-Brown	JAM	16.05.82	1h1	Montverde	07.06.2014
192	172	10.86	1.2	English	Gardner	USA	22.04.92	2	Eugene	26.06.2015
193	172	10.86	-0.3	Tori	Bowie	USA	27.08.90	3	Beijing	24.08.2015
194	172	10.86	0.5	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	3	RiodeJaneiro	13.08.2016
195	172	10.86	0.5	Marie-Josee	TaLou	CIV	18.11.88	4	RiodeJaneiro	13.08.2016
196	172	10.86	0.1	Marie-Josee	TaLou	CIV	18.11.88	2	London	06.08.2017
197	197	10.87	1.9	Marlies	Gohr	GDR	21.03.58	1	Dresden	26.07.1984
198	197	10.87	1.1	Merlene	Ottey	JAM	10.05.60	1	Walnut	31.05.1987
199	197	10.87	0.2	Anelia	Nuneva	BUL	30.06.62	1	Sofia	02.09.1988
200	197	10.87	0.2	Merlene	Ottey	JAM	10.05.60	1	Roma	17.07.1991
201	197	10.87	-1.0	Merlene	Ottey	JAM	10.05.60	1r1	Zurich	07.08.1991
202	197	10.87	-0.2	Merlene	Ottey	JAM	10.05.60	1	Barcelona	20.09.1991
203	197	10.87	-0.3	Merlene	Ottey	JAM	10.05.60	1s1	Stuttgart	16.08.1993
204	197	10.87	-0.3	Gwen	Torrence	USA	12.06.65	2s1	Stuttgart	16.08.1993
205	197	10.87	0.0	Gwen	Torrence	USA	12.06.65	1	Monaco	02.08.1994
206	197	10.87	0.0	Gwen	Torrence	USA	12.06.65	1	Durham	13.08.1994
207	197	10.87	-0.3	Marion	Jones	USA	12.10.75	1	Malmo	03.08.1998
208	197	10.87	2.0	Ekaterini	Thanou	GRE	01.02.75	3	Budapest	19.08.1998
209	197	10.87	0.3	Sherone	Simpson	JAM	12.08.84	1rA	Roma	14.07.2006
210	197	10.87	0.7	Sherone	Simpson	JAM	12.08.84	3	Kingston	28.06.2008
211	197	10.87	0.0	Veronica	Campbell-Brown	JAM	16.05.82	1	London	26.07.2008
212	197	10.87	2.0	Kerron	Stewart	JAM	16.04.84	3	Eugene	04.06.2011
213	197	10.87	1.6	Marshevet	Hooker	USA	25.09.84	1h1	Eugene	23.06.2011
214	197	10.87	1.7	English	Gardner	USA	22.04.92	1s2	DesMoines	21.06.2013
215	197	10.87	1.8	Octavious	Freeman	USA	20.04.92	2	DesMoines	21.06.2013
216	197	10.87	-0.1	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1s3	Moskva	12.08.2013
217	197	10.87	1.7	Blessing	Okagbare	NGR	10.09.88	4rA	Eugene	30.05.2015
218	197	10.87	0.9	Tori	Bowie	USA	27.08.90	1s2	Beijing	24.08.2015
219	197	10.87	0.8	Elaine	Thompson	JAM	28.06.92	1rA	Roma	02.06.2016
220	197	10.87	0.3	Elaine	Thompson	JAM	28.06.92	1	Rabat	16.07.2017
221	197	10.87	0.8	Marie-Josee	TaLou	CIV	18.11.88	1s1	London	06.08.2017
222	222	10.88	2.0	Marlies	Gohr	GDR	21.03.58	1	Dresden	01.07.1977
223	222	10.88	1.9	Marlies	Gohr	GDR	21.03.58	1	Karl-Marx-Stadt	06.07.1982
224	222	10.88	1.9	Evelyn	Ashford	USA	15.04.57	1	Rieti	07.09.1986
225	222	10.88	1.6	Evelyn	Ashford	USA	15.04.57	1q2	Seoul	24.09.1988
226	222	10.88	1.0	Florence	Griffith-Joyner	USA	21.12.59	1h7	Seoul	24.09.1988
227	222	10.88	0.2	Merlene	Ottey	JAM	10.05.60	1	Oslo	06.07.1991
228	222	10.88	-1.0	Merlene	Ottey	JAM	10.05.60	5	Barcelona	01.08.1992
229	222	10.88	0.8	Gail	Devers	USA	19.11.66	3	Berlin	26.08.1997
230	222	10.88	0.0	Marion	Jones	USA	12.10.75	1r1	Paris	29.07.1998
231	222	10.88	-1.0	Marion	Jones	USA	12.10.75	1	Sacramento	15.07.2000
232	222	10.88	-0.1	Chryste	Gaines	USA	14.09.70	1	Bruxelles	05.09.2003
233	222	10.88	0.4	Lauryn	Williams	USA	11.09.83	2	Zurich	19.08.2005
234	222	10.88	1.2	Veronica	Campbell-Brown	JAM	16.05.82	1h1	Clermont	14.06.2008
235	222	10.88	0.7	Veronica	Campbell-Brown	JAM	16.05.82	4	Kingston	28.06.2008
236	222	10.88	-1.5	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Kingston	27.06.2009
237	222	10.88	0.5	Carmelita	Jeter	USA	24.11.79	1	Bruxelles	04.09.2009
238	222	10.88	1.7	Carmelita	Jeter	USA	24.11.79	1h3	Eugene	23.06.2011
239	222	10.88	1.2	Michelle-Lee	Ahye	TTO	10.04.92	1rA	PortofSpain	21.06.2014
240	222	10.88	0.5	Tori	Bowie	USA	27.08.90	1h1	Beijing	23.08.2015
241	222	10.88	0.3	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1s2	RiodeJaneiro	13.08.2016
242	222	10.88	0.6	Elaine	Thompson	JAM	28.06.92	1s3	RiodeJaneiro	13.08.2016
