mag.u,mag.g,mag.r,mag.i,mag.z
18.5616970062256,17.1583728790283,16.5925979614258,16.3727378845215,16.289514541626
21.0531673431396,19.4989051818848,18.8168964385986,18.4734401702881,18.3423194885254
19.7451686859131,17.9441394805908,17.2530670166016,17.003210067749,16.8782634735107
20.9391040802002,19.3392601013184,18.7155685424805,18.4723606109619,18.3215484619141
21.5300827026367,19.6935939788818,18.9495124816895,18.6656150817871,18.5562858581543
21.5300827026367,19.6935939788818,18.9495124816895,18.6656150817871,18.5562858581543
21.5300827026367,19.6935939788818,18.9495124816895,18.6656150817871,18.5562858581543
20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535
20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535
20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535
20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535
20.8488101959229,19.4560165405273,18.8146953582764,18.465950012207,18.3174476623535
21.1638736724854,19.5067596435547,18.8471393585205,18.5137805938721,18.4556159973145
21.1638736724854,19.5067596435547,18.8471393585205,18.5137805938721,18.4556159973145
20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922
20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922
20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922
20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922
20.7140522003174,19.1162185668945,18.4092044830322,18.0760555267334,17.9475555419922
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
20.9725799560547,19.3690910339355,18.7182121276855,18.3983783721924,18.1920318603516
21.4312438964844,19.6477890014648,18.9697875976563,18.6206512451172,18.4572811126709
21.4312438964844,19.6477890014648,18.9697875976563,18.6206512451172,18.4572811126709
21.5206661224365,20.3239326477051,19.7277507781982,19.4666481018066,19.4333171844482
21.5206661224365,20.3239326477051,19.7277507781982,19.4666481018066,19.4333171844482
21.3164005279541,19.9038791656494,19.2100563049316,18.9580898284912,18.7862358093262
21.3164005279541,19.9038791656494,19.2100563049316,18.9580898284912,18.7862358093262
21.0988388061523,19.2704010009766,18.5199069976807,18.1801280975342,17.9803676605225
21.1444644927979,19.5596160888672,18.8814544677734,18.5410804748535,18.411205291748
21.1444644927979,19.5596160888672,18.8814544677734,18.5410804748535,18.411205291748
21.5484447479248,20.1878776550293,19.5354766845703,19.26930809021,19.3480033874512
21.5484447479248,20.1878776550293,19.5354766845703,19.26930809021,19.3480033874512
21.5484447479248,20.1878776550293,19.5354766845703,19.26930809021,19.3480033874512
21.0657730102539,19.5835361480713,18.9566268920898,18.6535911560059,18.5077171325684
19.5039672851563,17.6111106872559,16.7774238586426,16.4678611755371,16.269214630127
19.5039672851563,17.6111106872559,16.7774238586426,16.4678611755371,16.269214630127
20.9742965698242,19.7109241485596,19.1158561706543,18.877082824707,18.7170104980469
20.9813270568848,19.1716499328613,18.4041767120361,18.0239429473877,17.8296241760254
21.0750122070313,19.6202392578125,18.9717559814453,18.6396961212158,18.4511775970459
21.0750122070313,19.6202392578125,18.9717559814453,18.6396961212158,18.4511775970459
21.0750122070313,19.6202392578125,18.9717559814453,18.6396961212158,18.4511775970459
21.3595352172852,20.099681854248,19.4734745025635,19.1429004669189,19.0745277404785
21.3595352172852,20.099681854248,19.4734745025635,19.1429004669189,19.0745277404785
20.7568454742432,18.8722324371338,18.0774574279785,17.684139251709,17.4592838287354
20.7568454742432,18.8722324371338,18.0774574279785,17.684139251709,17.4592838287354
20.7568454742432,18.8722324371338,18.0774574279785,17.684139251709,17.4592838287354
20.7568454742432,18.8722324371338,18.0774574279785,17.684139251709,17.4592838287354
20.7568454742432,18.8722324371338,18.0774574279785,17.684139251709,17.4592838287354
20.7568454742432,18.8722324371338,18.0774574279785,17.684139251709,17.4592838287354
21.1098957061768,19.6206855773926,18.9480247497559,18.6409111022949,18.4955902099609
21.1098957061768,19.6206855773926,18.9480247497559,18.6409111022949,18.4955902099609
21.1098957061768,19.6206855773926,18.9480247497559,18.6409111022949,18.4955902099609
20.6273727416992,18.7965850830078,18.024730682373,17.6702327728271,17.4645576477051
20.6273727416992,18.7965850830078,18.024730682373,17.6702327728271,17.4645576477051
20.6273727416992,18.7965850830078,18.024730682373,17.6702327728271,17.4645576477051
20.6273727416992,18.7965850830078,18.024730682373,17.6702327728271,17.4645576477051
20.6273727416992,18.7965850830078,18.024730682373,17.6702327728271,17.4645576477051
20.589282989502,18.8451633453369,18.0499992370605,17.6885776519775,17.4878921508789
20.589282989502,18.8451633453369,18.0499992370605,17.6885776519775,17.4878921508789
20.589282989502,18.8451633453369,18.0499992370605,17.6885776519775,17.4878921508789
20.589282989502,18.8451633453369,18.0499992370605,17.6885776519775,17.4878921508789
20.589282989502,18.8451633453369,18.0499992370605,17.6885776519775,17.4878921508789
19.5053901672363,17.588171005249,16.7359371185303,16.3633995056152,16.1562366485596
21.2918796539307,20.0239696502686,19.3538150787354,19.032922744751,18.8748435974121
21.2918796539307,20.0239696502686,19.3538150787354,19.032922744751,18.8748435974121
21.2918796539307,20.0239696502686,19.3538150787354,19.032922744751,18.8748435974121
21.2918796539307,20.0239696502686,19.3538150787354,19.032922744751,18.8748435974121
21.5016803741455,20.0779094696045,19.4982662200928,19.1756591796875,19.1034717559814
20.654317855835,18.9491558074951,18.164134979248,17.8102340698242,17.6727313995361
20.654317855835,18.9491558074951,18.164134979248,17.8102340698242,17.6727313995361
21.5629539489746,19.9092597961426,19.1904010772705,18.8786029815674,18.638427734375
21.2994194030762,19.7068634033203,19.0132083892822,18.7225952148438,18.5346775054932
21.2994194030762,19.7068634033203,19.0132083892822,18.7225952148438,18.5346775054932
